,image,steering,is_flipped,random_shift,is_shift
5,IMG/center_2016_12_01_13_31_13_279.jpg,0.0,False,0,False
6, IMG/left_2016_12_01_13_32_35_588.jpg,0.23,False,0,False
8,IMG/center_2016_12_01_13_32_35_588.jpg,0.0,False,0,False
9, IMG/left_2016_12_01_13_32_40_171.jpg,0.23,False,0,False
12, IMG/left_2016_12_01_13_32_42_143.jpg,0.23,False,0,False
17,IMG/center_2016_12_01_13_32_42_952.jpg,0.0,False,0,False
23,IMG/center_2016_12_01_13_32_43_558.jpg,0.05219137,False,0,False
24, IMG/left_2016_12_01_13_32_43_659.jpg,0.28219137,False,0,False
25, IMG/right_2016_12_01_13_32_43_659.jpg,-0.17780863000000002,False,0,False
27, IMG/left_2016_12_01_13_32_43_761.jpg,0.5979529,False,0,False
28, IMG/right_2016_12_01_13_32_43_761.jpg,0.13795290000000002,False,0,False
29,IMG/center_2016_12_01_13_32_43_761.jpg,0.3679529,False,0,False
30, IMG/left_2016_12_01_13_32_43_862.jpg,0.8084606,False,0,False
31, IMG/right_2016_12_01_13_32_43_862.jpg,0.3484606,False,0,False
32,IMG/center_2016_12_01_13_32_43_862.jpg,0.5784606,False,0,False
33, IMG/left_2016_12_01_13_32_43_963.jpg,0.8084606,False,0,False
34, IMG/right_2016_12_01_13_32_43_963.jpg,0.3484606,False,0,False
35,IMG/center_2016_12_01_13_32_43_963.jpg,0.5784606,False,0,False
36, IMG/left_2016_12_01_13_32_44_064.jpg,0.3970138,False,0,False
38,IMG/center_2016_12_01_13_32_44_064.jpg,0.1670138,False,0,False
39, IMG/left_2016_12_01_13_32_44_772.jpg,0.23,False,0,False
41,IMG/center_2016_12_01_13_32_44_772.jpg,0.0,False,0,False
42, IMG/left_2016_12_01_13_32_45_174.jpg,0.23,False,0,False
44,IMG/center_2016_12_01_13_32_45_174.jpg,0.0,False,0,False
45, IMG/left_2016_12_01_13_32_45_275.jpg,0.31089697,False,0,False
46, IMG/right_2016_12_01_13_32_45_275.jpg,-0.14910303000000003,False,0,False
48, IMG/left_2016_12_01_13_32_45_377.jpg,0.3204655,False,0,False
49, IMG/right_2016_12_01_13_32_45_377.jpg,-0.1395345,False,0,False
50,IMG/center_2016_12_01_13_32_45_377.jpg,0.09046549999999999,False,0,False
54, IMG/left_2016_12_01_13_32_45_578.jpg,0.38744520000000005,False,0,False
56,IMG/center_2016_12_01_13_32_45_578.jpg,0.15744520000000004,False,0,False
57, IMG/left_2016_12_01_13_32_45_679.jpg,0.4065823,False,0,False
60, IMG/left_2016_12_01_13_32_45_780.jpg,0.4065823,False,0,False
61, IMG/right_2016_12_01_13_32_45_780.jpg,-0.05341770000000001,False,0,False
62,IMG/center_2016_12_01_13_32_45_780.jpg,0.1765823,False,0,False
66, IMG/left_2016_12_01_13_32_46_185.jpg,0.1512541,False,0,False
67, IMG/right_2016_12_01_13_32_46_185.jpg,-0.3087459,False,0,False
68,IMG/center_2016_12_01_13_32_46_185.jpg,-0.0787459,False,0,False
70, IMG/right_2016_12_01_13_32_46_285.jpg,-0.3087459,False,0,False
72, IMG/left_2016_12_01_13_32_46_385.jpg,0.1512541,False,0,False
74,IMG/center_2016_12_01_13_32_46_385.jpg,-0.0787459,False,0,False
75, IMG/left_2016_12_01_13_32_46_486.jpg,0.1512541,False,0,False
78, IMG/left_2016_12_01_13_32_46_991.jpg,0.28219137,False,0,False
79, IMG/right_2016_12_01_13_32_46_991.jpg,-0.17780863000000002,False,0,False
81, IMG/left_2016_12_01_13_32_47_091.jpg,0.28219137,False,0,False
82, IMG/right_2016_12_01_13_32_47_091.jpg,-0.17780863000000002,False,0,False
86,IMG/center_2016_12_01_13_32_47_192.jpg,0.09046549999999999,False,0,False
87, IMG/left_2016_12_01_13_32_47_293.jpg,0.61709,False,0,False
89,IMG/center_2016_12_01_13_32_47_293.jpg,0.38709,False,0,False
90, IMG/left_2016_12_01_13_32_47_394.jpg,0.5883844,False,0,False
93, IMG/left_2016_12_01_13_32_47_495.jpg,0.28219137,False,0,False
95,IMG/center_2016_12_01_13_32_47_495.jpg,0.05219137,False,0,False
96, IMG/left_2016_12_01_13_32_47_595.jpg,0.23,False,0,False
97, IMG/right_2016_12_01_13_32_47_595.jpg,-0.23,False,0,False
99, IMG/left_2016_12_01_13_32_47_998.jpg,0.23,False,0,False
103, IMG/right_2016_12_01_13_32_48_098.jpg,-0.26127411,False,0,False
107,IMG/center_2016_12_01_13_32_48_200.jpg,-0.05975719,False,0,False
108, IMG/left_2016_12_01_13_32_48_302.jpg,0.17024281000000002,False,0,False
117, IMG/left_2016_12_01_13_32_48_604.jpg,0.17024281000000002,False,0,False
120, IMG/left_2016_12_01_13_32_48_705.jpg,0.17024281000000002,False,0,False
121, IMG/right_2016_12_01_13_32_48_705.jpg,-0.28975719,False,0,False
125,IMG/center_2016_12_01_13_32_48_805.jpg,-0.05975719,False,0,False
127, IMG/right_2016_12_01_13_32_48_906.jpg,-0.28975719,False,0,False
128,IMG/center_2016_12_01_13_32_48_906.jpg,-0.05975719,False,0,False
130, IMG/right_2016_12_01_13_32_49_008.jpg,-0.28975719,False,0,False
133, IMG/right_2016_12_01_13_32_49_109.jpg,-0.28975719,False,0,False
135, IMG/left_2016_12_01_13_32_49_210.jpg,0.18923153,False,0,False
136, IMG/right_2016_12_01_13_32_49_210.jpg,-0.27076847000000004,False,0,False
